                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5505,                 7.6141,                 1.5137,                0.12585,                0.29577,                0.04515,                0.02536,                 1.3181,                  14.83,                 1.2264,                0.00024,                0.00024,                0.00024
                      2,                 1.2908,                 1.8309,                 1.0822,                0.73308,                0.30948,                0.41162,                0.24799,                 1.3317,                 2.6381,                 1.2643,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.2594,                 1.2952,                 1.0728,                0.73968,                0.42254,                0.49188,                0.25018,                   1.46,                 3.2244,                  1.292,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.2692,                 1.0774,                 1.0951,                0.57829,                0.40845,                0.38079,                0.20431,                 1.5481,                 2.4298,                 1.2584,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.3221,                 1.0612,                 1.1607,                 0.8129,                 0.4507,                0.51213,                 0.2175,                 1.5787,                  1.476,                 1.3144,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2522,                0.99499,                 1.1015,                0.72118,                0.43662,                0.47742,                0.26863,                 1.5466,                 1.6039,                 1.5185,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.2615,                0.94086,                 1.0804,                0.70952,                0.38028,                0.43511,                0.22624,                 1.5025,                 1.8703,                 1.3598,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.3677,                0.95238,                 1.1083,                0.51368,                 0.4761,                0.45154,                0.22234,                 1.7397,                 1.7848,                 1.5568,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2975,                0.93883,                 1.1695,                0.32262,                0.40252,                 0.3181,                0.15328,                 1.8267,                 4.0864,                 1.7815,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2737,                0.87564,                 1.1475,                0.57919,                0.50704,                0.44864,                0.24698,                 1.5675,                 2.9076,                 1.4114,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1831,                0.82361,                 1.1228,                0.25133,                 0.3662,                   0.17,                0.08264,                 1.6424,                 6.1111,                 1.3831,               0.001604,               0.001604,               0.001604
                     12,                 1.2149,                0.87322,                 1.1882,                0.69685,                0.38028,                0.43138,                0.25208,                 1.4465,                 4.0096,                 1.5208,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1841,                0.85007,                 1.0925,                0.63509,                0.56338,                0.56311,                0.29851,                 1.4855,                 1.8686,                 1.2809,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2471,                0.87353,                 1.0746,                0.84668,                0.62228,                0.70445,                0.36155,                 1.4411,                 1.2256,                 1.3092,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1503,                0.76612,                 1.0697,                0.84795,                0.57746,                0.69952,                0.39324,                 1.3147,                 1.0256,                 1.2136,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1234,                0.74887,                  1.075,                0.69063,                0.61972,                0.67106,                 0.3743,                 1.3537,                 1.0679,                 1.2589,               0.001406,               0.001406,               0.001406
                     17,                 1.1422,                0.79106,                 1.0802,                0.72181,                0.69439,                0.77812,                 0.3972,                 1.2901,                 1.2199,                 1.1955,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0903,                0.71348,                 1.0497,                0.84425,                0.69014,                0.80047,                0.39917,                 1.2838,                0.88667,                 1.1822,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0862,                0.72488,                 1.0855,                0.79755,                0.70423,                0.77857,                0.38234,                 1.3795,                0.80054,                 1.2735,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0517,                 0.6941,                 1.0575,                0.77781,                0.71831,                0.76502,                0.37656,                 1.4209,                0.77173,                 1.2133,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0782,                0.69994,                 1.0351,                0.89415,                0.71393,                0.80661,                0.48544,                  1.218,                0.71784,                 1.1303,               0.001208,               0.001208,               0.001208
                     22,                 1.0668,                0.69124,                 1.0648,                0.84195,                0.75035,                0.81444,                0.47679,                 1.2134,                0.71075,                 1.0915,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0323,                0.65595,                 1.0342,                0.95986,                0.67357,                0.80806,                0.49751,                 1.1037,                0.68361,                 1.0702,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0848,                 0.6738,                 1.0732,                0.88215,                0.70423,                0.83314,                0.48644,                  1.163,                0.63191,                 1.0966,              0.0010892,              0.0010892,              0.0010892
                     25,                0.96978,                0.63051,                 1.0505,                 0.9048,                0.69014,                0.79781,                0.51063,                 1.1114,                0.62112,                 1.1311,              0.0010496,              0.0010496,              0.0010496
                     26,                0.93585,                0.61134,                 1.0011,                0.79165,                0.74648,                0.78197,                0.46642,                 1.2089,                0.67276,                 1.1477,                0.00101,                0.00101,                0.00101
                     27,                0.95043,                0.60542,                 1.0026,                0.85781,                0.76477,                0.82893,                0.48601,                 1.1176,                0.66218,                 1.1457,              0.0009704,              0.0009704,              0.0009704
                     28,                0.97329,                0.58833,                 1.0118,                0.86715,                0.85915,                0.88706,                0.50772,                  1.139,                0.62242,                  1.133,              0.0009308,              0.0009308,              0.0009308
                     29,                 0.9235,                0.61894,                0.99946,                0.81838,                0.82509,                0.89282,                0.49596,                 1.1299,                 0.6288,                 1.0958,              0.0008912,              0.0008912,              0.0008912
                     30,                0.90896,                 0.5774,                0.99513,                0.81058,                 0.8438,                0.87375,                0.48334,                 1.2151,                0.64362,                 1.1534,              0.0008516,              0.0008516,              0.0008516
                     31,                0.90257,                0.57006,                0.98137,                0.88184,                0.84095,                0.89624,                0.51589,                 1.2081,                0.59102,                 1.1262,               0.000812,               0.000812,               0.000812
                     32,                0.89399,                0.58482,                 1.0259,                 0.8794,                0.80282,                0.89885,                0.54376,                 1.1154,                0.57696,                 1.0768,              0.0007724,              0.0007724,              0.0007724
                     33,                0.92186,                0.58376,                0.99792,                0.83715,                0.86886,                0.89567,                0.54858,                 1.1084,                 0.5772,                 1.0962,              0.0007328,              0.0007328,              0.0007328
                     34,                0.90403,                0.54759,                0.97733,                0.93222,                0.88732,                  0.924,                0.56015,                 1.0367,                0.52546,                 1.0485,              0.0006932,              0.0006932,              0.0006932
                     35,                0.89924,                0.53684,                0.96815,                0.91731,                0.84507,                0.90037,                0.56256,                  1.047,                0.52335,                 1.0209,              0.0006536,              0.0006536,              0.0006536
